RUN	computerdatabase.PerformanceTest	performancetest	1598487967028	 	3.3.1
USER	fluxo principal	1	START	1598487968488	1598487968488
REQUEST	1		Login!	1598487968519	1598487969003	OK	 
REQUEST	1		Buscar produto!	1598487969024	1598487969409	OK	 
USER	fluxo principal	1	END	1598487968488	1598487969412
USER	fluxo principal	2	START	1598487969508	1598487969508
REQUEST	2		Login!	1598487969508	1598487969922	OK	 
REQUEST	2		Buscar produto!	1598487969923	1598487970299	OK	 
USER	fluxo principal	2	END	1598487969508	1598487970300
USER	fluxo principal	3	START	1598487970508	1598487970508
REQUEST	3		Login!	1598487970508	1598487970945	OK	 
REQUEST	3		Buscar produto!	1598487970947	1598487971355	OK	 
USER	fluxo principal	3	END	1598487970508	1598487971356
USER	fluxo principal	4	START	1598487971498	1598487971498
REQUEST	4		Login!	1598487971498	1598487971898	OK	 
REQUEST	4		Buscar produto!	1598487971899	1598487972274	OK	 
USER	fluxo principal	4	END	1598487971498	1598487972275
USER	fluxo principal	5	START	1598487972499	1598487972499
USER	fluxo principal	6	START	1598487973498	1598487973498
REQUEST	6		Login!	1598487973499	1598487973915	OK	 
REQUEST	6		Buscar produto!	1598487973916	1598487974427	OK	 
USER	fluxo principal	6	END	1598487973498	1598487974428
USER	fluxo principal	7	START	1598487974497	1598487974497
REQUEST	5		Login!	1598487972499	1598487974549	OK	 
REQUEST	5		Buscar produto!	1598487974550	1598487975219	OK	 
REQUEST	7		Login!	1598487974498	1598487975219	OK	 
USER	fluxo principal	5	END	1598487972499	1598487975220
USER	fluxo principal	8	START	1598487975498	1598487975498
REQUEST	7		Buscar produto!	1598487975221	1598487975563	OK	 
USER	fluxo principal	7	END	1598487974497	1598487975563
REQUEST	8		Login!	1598487975499	1598487975963	OK	 
REQUEST	8		Buscar produto!	1598487975964	1598487976373	OK	 
USER	fluxo principal	8	END	1598487975498	1598487976373
USER	fluxo principal	9	START	1598487976499	1598487976499
REQUEST	9		Login!	1598487976500	1598487976882	OK	 
REQUEST	9		Buscar produto!	1598487976883	1598487977397	OK	 
USER	fluxo principal	9	END	1598487976499	1598487977397
USER	fluxo principal	10	START	1598487977499	1598487977499
REQUEST	10		Login!	1598487977499	1598487977909	OK	 
REQUEST	10		Buscar produto!	1598487977910	1598487978319	OK	 
USER	fluxo principal	10	END	1598487977499	1598487978319
