RUN	computerdatabase.PerformanceTest	performancetest	1598496341988	testes	3.3.1
REQUEST	22		Login!	1598496367478	1598496367942	OK	 
REQUEST	25		Login!	1598496367478	1598496367942	OK	 
REQUEST	21		Login!	1598496367478	1598496367942	OK	 
REQUEST	25		Buscar produto!	1598496367944	1598496368352	OK	 
REQUEST	22		Buscar produto!	1598496367944	1598496368353	OK	 
REQUEST	23		Buscar produto!	1598496367944	1598496368352	OK	 
REQUEST	24		Login!	1598496367480	1598496368352	OK	 
REQUEST	21		Buscar produto!	1598496367944	1598496368352	OK	 
REQUEST	25		Finalizar Compra!	1598496368353	1598496368528	OK	 
USER	fluxo principal	25	END	1598496367478	1598496368528
REQUEST	21		Finalizar Compra!	1598496368365	1598496368547	OK	 
USER	fluxo principal	21	END	1598496367477	1598496368548
REQUEST	22		Finalizar Compra!	1598496368353	1598496368668	OK	 
USER	fluxo principal	22	END	1598496367477	1598496368669
REQUEST	24		Buscar produto!	1598496368359	1598496368675	OK	 
REQUEST	23		Finalizar Compra!	1598496368362	1598496368680	OK	 
USER	fluxo principal	23	END	1598496367477	1598496368680
REQUEST	24		Finalizar Compra!	1598496368676	1598496369067	OK	 
USER	fluxo principal	24	END	1598496367479	1598496369068
