RUN	computerdatabase.BasicSimulation	basicsimulation	1598487503246	 	3.3.1
USER	Scenario Name	1	START	1598487504817	1598487504817
REQUEST	1		request_1	1598487504840	1598487505734	OK	 
REQUEST	1		request_1 Redirect 1	1598487505748	1598487506733	OK	 
REQUEST	1		request_1 Redirect 2	1598487506733	1598487506961	OK	 
REQUEST	1		request_2	1598487513984	1598487514334	OK	 
REQUEST	1		request_2 Redirect 1	1598487514335	1598487514641	OK	 
REQUEST	1		request_3	1598487516634	1598487516893	OK	 
REQUEST	1		request_3 Redirect 1	1598487516894	1598487517142	OK	 
REQUEST	1		request_4 Redirect 1	1598487520145	1598487520364	OK	 
REQUEST	1		request_4 Redirect 2	1598487520365	1598487520590	OK	 
REQUEST	1		request_5	1598487522596	1598487522936	OK	 
REQUEST	1		request_5 Redirect 1	1598487522937	1598487523165	OK	 
REQUEST	1		request_6	1598487523836	1598487524164	OK	 
REQUEST	1		request_6 Redirect 1	1598487524165	1598487524471	OK	 
REQUEST	1		request_7	1598487525094	1598487525393	OK	 
REQUEST	1		request_7 Redirect 1	1598487525393	1598487525700	OK	 
REQUEST	1		request_8	1598487526435	1598487526724	OK	 
REQUEST	1		request_8 Redirect 1	1598487526725	1598487527031	OK	 
REQUEST	1		request_9	1598487532034	1598487532356	OK	 
REQUEST	1		request_9 Redirect 1	1598487532356	1598487532580	OK	 
REQUEST	1		request_10	1598487533589	1598487533892	OK	 
REQUEST	1		request_10 Redirect 1	1598487533893	1598487534199	OK	 
REQUEST	1		request_10 Redirect 2	1598487534208	1598487534507	OK	 
USER	Scenario Name	1	END	1598487504817	1598487534510
