RUN	computerdatabase.PerformanceTest	performancetest	1598552783651	 	3.3.1
REQUEST	13		Finalizar Compra!	1598552801092	1598552801316	OK	 
USER	fluxo principal	13	END	1598552798097	1598552801317
REQUEST	16		Login!	1598552801097	1598552801477	OK	 
REQUEST	16		Buscar produto!	1598552801478	1598552801803	OK	 
USER	fluxo principal	17	START	1598552802096	1598552802096
REQUEST	16		Finalizar Compra!	1598552801804	1598552802141	OK	 
USER	fluxo principal	16	END	1598552801097	1598552802142
REQUEST	17		Login!	1598552802096	1598552802449	OK	 
REQUEST	17		Buscar produto!	1598552802450	1598552802775	OK	 
USER	fluxo principal	18	START	1598552803095	1598552803095
REQUEST	17		Finalizar Compra!	1598552802776	1598552803120	OK	 
USER	fluxo principal	17	END	1598552802096	1598552803120
REQUEST	18		Login!	1598552803096	1598552803424	OK	 
REQUEST	18		Buscar produto!	1598552803425	1598552803730	OK	 
REQUEST	18		Finalizar Compra!	1598552803731	1598552804039	OK	 
USER	fluxo principal	18	END	1598552803095	1598552804040
USER	fluxo principal	19	START	1598552804097	1598552804097
REQUEST	19		Login!	1598552804097	1598552804432	OK	 
REQUEST	19		Buscar produto!	1598552804433	1598552804787	OK	 
USER	fluxo principal	20	START	1598552805097	1598552805097
REQUEST	19		Finalizar Compra!	1598552804788	1598552805110	OK	 
USER	fluxo principal	19	END	1598552804097	1598552805111
REQUEST	20		Login!	1598552805097	1598552805428	OK	 
REQUEST	20		Buscar produto!	1598552805430	1598552805597	OK	 
REQUEST	20		Finalizar Compra!	1598552805598	1598552805915	OK	 
USER	fluxo principal	20	END	1598552805097	1598552805916
USER	fluxo principal	22	START	1598552810096	1598552810096
USER	fluxo principal	23	START	1598552810096	1598552810096
USER	fluxo principal	26	START	1598552810096	1598552810096
USER	fluxo principal	21	START	1598552810096	1598552810096
USER	fluxo principal	25	START	1598552810097	1598552810097
USER	fluxo principal	27	START	1598552810097	1598552810097
USER	fluxo principal	30	START	1598552810097	1598552810097
USER	fluxo principal	28	START	1598552810097	1598552810097
USER	fluxo principal	24	START	1598552810096	1598552810096
USER	fluxo principal	29	START	1598552810099	1598552810099
REQUEST	23		Login!	1598552810097	1598552810290	OK	 
REQUEST	24		Login!	1598552810097	1598552810291	OK	 
REQUEST	26		Login!	1598552810097	1598552810304	OK	 
REQUEST	30		Login!	1598552810097	1598552810440	OK	 
REQUEST	29		Login!	1598552810099	1598552810450	OK	 
REQUEST	27		Login!	1598552810097	1598552810450	OK	 
REQUEST	25		Login!	1598552810097	1598552810457	OK	 
REQUEST	21		Login!	1598552810097	1598552810457	OK	 
REQUEST	22		Login!	1598552810097	1598552810462	OK	 
REQUEST	23		Buscar produto!	1598552810291	1598552810622	OK	 
REQUEST	24		Buscar produto!	1598552810291	1598552810654	OK	 
REQUEST	26		Buscar produto!	1598552810305	1598552810657	OK	 
REQUEST	21		Buscar produto!	1598552810458	1598552810777	OK	 
REQUEST	25		Buscar produto!	1598552810458	1598552810782	OK	 
REQUEST	27		Buscar produto!	1598552810451	1598552810785	OK	 
REQUEST	22		Buscar produto!	1598552810463	1598552810804	OK	 
REQUEST	29		Buscar produto!	1598552810451	1598552810804	OK	 
REQUEST	30		Buscar produto!	1598552810441	1598552810812	OK	 
REQUEST	27		Finalizar Compra!	1598552810786	1598552810952	OK	 
USER	fluxo principal	27	END	1598552810097	1598552810953
REQUEST	23		Finalizar Compra!	1598552810622	1598552810955	OK	 
USER	fluxo principal	23	END	1598552810096	1598552810955
REQUEST	24		Finalizar Compra!	1598552810655	1598552810979	OK	 
USER	fluxo principal	24	END	1598552810096	1598552810980
REQUEST	26		Finalizar Compra!	1598552810658	1598552810993	OK	 
USER	fluxo principal	26	END	1598552810096	1598552810993
REQUEST	21		Finalizar Compra!	1598552810778	1598552811114	OK	 
USER	fluxo principal	21	END	1598552810096	1598552811114
REQUEST	22		Finalizar Compra!	1598552810805	1598552811127	OK	 
USER	fluxo principal	22	END	1598552810096	1598552811127
REQUEST	25		Finalizar Compra!	1598552810783	1598552811130	OK	 
USER	fluxo principal	25	END	1598552810097	1598552811131
REQUEST	29		Finalizar Compra!	1598552810805	1598552811134	OK	 
USER	fluxo principal	29	END	1598552810099	1598552811135
REQUEST	30		Finalizar Compra!	1598552810813	1598552811162	OK	 
USER	fluxo principal	30	END	1598552810097	1598552811163
REQUEST	28		Login!	1598552810098	1598552811851	OK	 
REQUEST	28		Buscar produto!	1598552811852	1598552812173	OK	 
REQUEST	28		Finalizar Compra!	1598552812174	1598552812343	OK	 
USER	fluxo principal	28	END	1598552810097	1598552812343
