RUN	computerdatabase.PerformanceTest	performancetest	1598552783651	 	3.3.1
USER	fluxo principal	1	START	1598552786084	1598552786084
USER	fluxo principal	2	START	1598552787095	1598552787095
USER	fluxo principal	3	START	1598552788097	1598552788097
USER	fluxo principal	4	START	1598552789096	1598552789096
REQUEST	3		Login!	1598552788098	1598552789504	OK	 
REQUEST	4		Login!	1598552789096	1598552789504	OK	 
REQUEST	2		Login!	1598552787096	1598552789504	OK	 
REQUEST	1		Login!	1598552786107	1598552789538	OK	 
REQUEST	4		Buscar produto!	1598552789532	1598552789871	OK	 
REQUEST	2		Buscar produto!	1598552789532	1598552789905	OK	 
REQUEST	3		Buscar produto!	1598552789532	1598552789918	OK	 
USER	fluxo principal	5	START	1598552790095	1598552790095
REQUEST	4		Finalizar Compra!	1598552789872	1598552790284	OK	 
USER	fluxo principal	4	END	1598552789096	1598552790287
REQUEST	2		Finalizar Compra!	1598552789906	1598552790300	OK	 
USER	fluxo principal	2	END	1598552787095	1598552790301
REQUEST	3		Finalizar Compra!	1598552789919	1598552790310	OK	 
USER	fluxo principal	3	END	1598552788097	1598552790311
REQUEST	5		Login!	1598552790096	1598552790464	OK	 
REQUEST	1		Buscar produto!	1598552789539	1598552790771	OK	 
REQUEST	5		Buscar produto!	1598552790465	1598552790790	OK	 
USER	fluxo principal	6	START	1598552791097	1598552791097
REQUEST	1		Finalizar Compra!	1598552790772	1598552791390	OK	 
REQUEST	5		Finalizar Compra!	1598552790791	1598552791390	OK	 
USER	fluxo principal	5	END	1598552790095	1598552791391
USER	fluxo principal	1	END	1598552786084	1598552791391
REQUEST	6		Login!	1598552791097	1598552791792	OK	 
USER	fluxo principal	7	START	1598552792096	1598552792096
REQUEST	6		Buscar produto!	1598552791793	1598552792138	OK	 
REQUEST	7		Login!	1598552792097	1598552792458	OK	 
REQUEST	6		Finalizar Compra!	1598552792139	1598552792476	OK	 
USER	fluxo principal	6	END	1598552791097	1598552792476
REQUEST	7		Buscar produto!	1598552792459	1598552792828	OK	 
USER	fluxo principal	8	START	1598552793097	1598552793097
REQUEST	8		Login!	1598552793098	1598552793451	OK	 
REQUEST	8		Buscar produto!	1598552793452	1598552793772	OK	 
USER	fluxo principal	9	START	1598552794097	1598552794097
REQUEST	8		Finalizar Compra!	1598552793772	1598552794112	OK	 
USER	fluxo principal	8	END	1598552793097	1598552794113
REQUEST	9		Login!	1598552794097	1598552794466	OK	 
REQUEST	9		Buscar produto!	1598552794467	1598552794826	OK	 
USER	fluxo principal	10	START	1598552795097	1598552795097
REQUEST	9		Finalizar Compra!	1598552794827	1598552795139	OK	 
USER	fluxo principal	9	END	1598552794097	1598552795140
REQUEST	10		Login!	1598552795097	1598552795455	OK	 
REQUEST	10		Buscar produto!	1598552795456	1598552795781	OK	 
REQUEST	10		Finalizar Compra!	1598552795781	1598552796090	OK	 
USER	fluxo principal	10	END	1598552795097	1598552796091
USER	fluxo principal	11	START	1598552796096	1598552796096
REQUEST	7		Finalizar Compra!	1598552792829	1598552796421	OK	 
USER	fluxo principal	7	END	1598552792096	1598552796422
REQUEST	11		Login!	1598552796096	1598552796429	OK	 
REQUEST	11		Buscar produto!	1598552796430	1598552796740	OK	 
REQUEST	11		Finalizar Compra!	1598552796741	1598552797056	OK	 
USER	fluxo principal	11	END	1598552796096	1598552797056
USER	fluxo principal	12	START	1598552797097	1598552797097
REQUEST	12		Login!	1598552797098	1598552797423	OK	 
REQUEST	12		Buscar produto!	1598552797424	1598552797746	OK	 
REQUEST	12		Finalizar Compra!	1598552797746	1598552797926	OK	 
USER	fluxo principal	12	END	1598552797097	1598552797927
USER	fluxo principal	13	START	1598552798097	1598552798097
REQUEST	13		Login!	1598552798097	1598552798428	OK	 
USER	fluxo principal	14	START	1598552799097	1598552799097
REQUEST	14		Login!	1598552799098	1598552799455	OK	 
REQUEST	14		Buscar produto!	1598552799456	1598552799797	OK	 
USER	fluxo principal	15	START	1598552800097	1598552800097
REQUEST	14		Finalizar Compra!	1598552799798	1598552800118	OK	 
USER	fluxo principal	14	END	1598552799097	1598552800118
REQUEST	15		Login!	1598552800097	1598552800429	OK	 
REQUEST	15		Buscar produto!	1598552800431	1598552800742	OK	 
REQUEST	15		Finalizar Compra!	1598552800743	1598552801062	OK	 
USER	fluxo principal	15	END	1598552800097	1598552801062
REQUEST	13		Buscar produto!	1598552798429	1598552801091	OK	 
USER	fluxo principal	16	START	1598552801097	1598552801097
