RUN	computerdatabase.PerformanceTest	performancetest	1598496129651	 	3.3.1
USER	fluxo principal	1	START	1598496131306	1598496131306
REQUEST	1		Login!	1598496131337	1598496132115	OK	 
USER	fluxo principal	2	START	1598496132309	1598496132309
REQUEST	1		Buscar produto!	1598496132147	1598496132466	OK	 
REQUEST	2		Login!	1598496132310	1598496132653	OK	 
REQUEST	1		Finalizar Compra!	1598496132467	1598496132809	OK	 
USER	fluxo principal	1	END	1598496131306	1598496132813
REQUEST	2		Buscar produto!	1598496132655	1598496132974	OK	 
USER	fluxo principal	3	START	1598496133309	1598496133309
REQUEST	2		Finalizar Compra!	1598496132975	1598496133325	OK	 
USER	fluxo principal	2	END	1598496132309	1598496133326
REQUEST	3		Login!	1598496133312	1598496133749	OK	 
REQUEST	3		Buscar produto!	1598496133751	1598496134088	OK	 
USER	fluxo principal	4	START	1598496134299	1598496134299
REQUEST	3		Finalizar Compra!	1598496134089	1598496134435	OK	 
USER	fluxo principal	3	END	1598496133309	1598496134436
REQUEST	4		Login!	1598496134300	1598496134876	OK	 
REQUEST	4		Buscar produto!	1598496134879	1598496135286	OK	 
USER	fluxo principal	5	START	1598496135298	1598496135298
REQUEST	4		Finalizar Compra!	1598496135288	1598496135695	OK	 
REQUEST	5		Login!	1598496135299	1598496135695	OK	 
USER	fluxo principal	4	END	1598496134299	1598496135696
REQUEST	5		Buscar produto!	1598496135697	1598496136064	OK	 
USER	fluxo principal	6	START	1598496136301	1598496136301
REQUEST	5		Finalizar Compra!	1598496136065	1598496136402	OK	 
USER	fluxo principal	5	END	1598496135298	1598496136402
REQUEST	6		Login!	1598496136301	1598496136719	OK	 
REQUEST	6		Buscar produto!	1598496136720	1598496137129	OK	 
USER	fluxo principal	7	START	1598496137300	1598496137300
REQUEST	6		Finalizar Compra!	1598496137131	1598496137486	OK	 
USER	fluxo principal	6	END	1598496136301	1598496137487
REQUEST	7		Login!	1598496137301	1598496137694	OK	 
REQUEST	7		Buscar produto!	1598496137696	1598496138153	OK	 
USER	fluxo principal	8	START	1598496138299	1598496138299
REQUEST	7		Finalizar Compra!	1598496138154	1598496138491	OK	 
USER	fluxo principal	7	END	1598496137300	1598496138493
REQUEST	8		Login!	1598496138300	1598496138681	OK	 
REQUEST	8		Buscar produto!	1598496138683	1598496139060	OK	 
REQUEST	8		Finalizar Compra!	1598496139061	1598496139230	OK	 
USER	fluxo principal	8	END	1598496138299	1598496139231
USER	fluxo principal	9	START	1598496139301	1598496139301
REQUEST	9		Login!	1598496139302	1598496139791	OK	 
REQUEST	9		Buscar produto!	1598496139793	1598496140201	OK	 
USER	fluxo principal	10	START	1598496140298	1598496140298
REQUEST	9		Finalizar Compra!	1598496140202	1598496140610	OK	 
USER	fluxo principal	9	END	1598496139301	1598496140611
REQUEST	10		Login!	1598496140299	1598496140683	OK	 
REQUEST	10		Buscar produto!	1598496140684	1598496141122	OK	 
USER	fluxo principal	11	START	1598496141301	1598496141301
REQUEST	10		Finalizar Compra!	1598496141123	1598496141311	OK	 
USER	fluxo principal	10	END	1598496140298	1598496141312
REQUEST	11		Login!	1598496141302	1598496141737	OK	 
REQUEST	11		Buscar produto!	1598496141739	1598496142249	OK	 
USER	fluxo principal	12	START	1598496142301	1598496142301
REQUEST	11		Finalizar Compra!	1598496142250	1598496142658	OK	 
USER	fluxo principal	11	END	1598496141301	1598496142659
REQUEST	12		Login!	1598496142301	1598496142660	OK	 
REQUEST	12		Buscar produto!	1598496142661	1598496143068	OK	 
USER	fluxo principal	13	START	1598496143301	1598496143301
REQUEST	12		Finalizar Compra!	1598496143069	1598496143440	OK	 
USER	fluxo principal	12	END	1598496142301	1598496143441
REQUEST	13		Login!	1598496143303	1598496143785	OK	 
REQUEST	13		Buscar produto!	1598496143786	1598496144297	OK	 
USER	fluxo principal	14	START	1598496144299	1598496144299
REQUEST	13		Finalizar Compra!	1598496144298	1598496144501	OK	 
REQUEST	14		Login!	1598496144299	1598496144501	OK	 
USER	fluxo principal	13	END	1598496143301	1598496144502
REQUEST	14		Buscar produto!	1598496144503	1598496144855	OK	 
REQUEST	14		Finalizar Compra!	1598496144856	1598496145238	OK	 
USER	fluxo principal	14	END	1598496144299	1598496145239
USER	fluxo principal	15	START	1598496145299	1598496145299
REQUEST	15		Login!	1598496145300	1598496145730	OK	 
REQUEST	15		Buscar produto!	1598496145732	1598496146140	OK	 
USER	fluxo principal	16	START	1598496146299	1598496146299
REQUEST	15		Finalizar Compra!	1598496146141	1598496146501	OK	 
USER	fluxo principal	15	END	1598496145299	1598496146502
REQUEST	16		Login!	1598496146300	1598496146655	OK	 
REQUEST	16		Buscar produto!	1598496146657	1598496147061	OK	 
USER	fluxo principal	17	START	1598496147300	1598496147300
REQUEST	16		Finalizar Compra!	1598496147062	1598496147394	OK	 
USER	fluxo principal	16	END	1598496146299	1598496147395
REQUEST	17		Login!	1598496147301	1598496147676	OK	 
REQUEST	17		Buscar produto!	1598496147677	1598496148085	OK	 
USER	fluxo principal	18	START	1598496148299	1598496148299
REQUEST	17		Finalizar Compra!	1598496148086	1598496148423	OK	 
USER	fluxo principal	17	END	1598496147300	1598496148423
REQUEST	18		Login!	1598496148299	1598496148700	OK	 
REQUEST	18		Buscar produto!	1598496148701	1598496149149	OK	 
USER	fluxo principal	19	START	1598496149301	1598496149301
REQUEST	18		Finalizar Compra!	1598496149150	1598496149495	OK	 
USER	fluxo principal	18	END	1598496148299	1598496149495
REQUEST	19		Login!	1598496149302	1598496149678	OK	 
REQUEST	19		Buscar produto!	1598496149680	1598496150050	OK	 
USER	fluxo principal	20	START	1598496150301	1598496150301
REQUEST	19		Finalizar Compra!	1598496150052	1598496150384	OK	 
USER	fluxo principal	19	END	1598496149301	1598496150385
REQUEST	20		Login!	1598496150302	1598496150748	OK	 
REQUEST	20		Buscar produto!	1598496150749	1598496151107	OK	 
REQUEST	20		Finalizar Compra!	1598496151111	1598496151567	OK	 
USER	fluxo principal	20	END	1598496150301	1598496151568
