RUN	computerdatabase.PerformanceTest	performancetest	1598488501289	 	3.3.1
USER	fluxo principal	1	START	1598488502711	1598488502711
REQUEST	1		Login!	1598488502741	1598488503235	OK	 
REQUEST	1		Buscar produto!	1598488503257	1598488503666	OK	 
USER	fluxo principal	2	START	1598488503731	1598488503731
REQUEST	1		Finalizar Compra!	1598488503666	1598488504051	OK	 
USER	fluxo principal	1	END	1598488502711	1598488504055
REQUEST	2		Login!	1598488503731	1598488504107	OK	 
REQUEST	2		Buscar produto!	1598488504108	1598488504563	OK	 
USER	fluxo principal	3	START	1598488504730	1598488504730
REQUEST	2		Finalizar Compra!	1598488504564	1598488504878	OK	 
USER	fluxo principal	2	END	1598488503731	1598488504879
REQUEST	3		Login!	1598488504730	1598488505178	OK	 
REQUEST	3		Buscar produto!	1598488505179	1598488505594	OK	 
USER	fluxo principal	4	START	1598488505721	1598488505721
REQUEST	3		Finalizar Compra!	1598488505595	1598488505903	OK	 
USER	fluxo principal	3	END	1598488504730	1598488505904
REQUEST	4		Login!	1598488505721	1598488506087	OK	 
REQUEST	4		Buscar produto!	1598488506088	1598488506431	OK	 
USER	fluxo principal	5	START	1598488506721	1598488506721
REQUEST	5		Login!	1598488506722	1598488507226	OK	 
REQUEST	5		Buscar produto!	1598488507227	1598488507635	OK	 
USER	fluxo principal	6	START	1598488507721	1598488507721
REQUEST	5		Finalizar Compra!	1598488507636	1598488507804	OK	 
USER	fluxo principal	5	END	1598488506721	1598488507805
REQUEST	6		Login!	1598488507722	1598488507915	OK	 
REQUEST	6		Buscar produto!	1598488507916	1598488508352	OK	 
REQUEST	4		Finalizar Compra!	1598488506431	1598488508352	OK	 
USER	fluxo principal	4	END	1598488505721	1598488508353
USER	fluxo principal	7	START	1598488508721	1598488508721
REQUEST	6		Finalizar Compra!	1598488508353	1598488508753	OK	 
USER	fluxo principal	6	END	1598488507721	1598488508754
REQUEST	7		Login!	1598488508722	1598488509312	OK	 
REQUEST	7		Buscar produto!	1598488509313	1598488509683	OK	 
USER	fluxo principal	8	START	1598488509721	1598488509721
REQUEST	7		Finalizar Compra!	1598488509684	1598488510093	OK	 
REQUEST	8		Login!	1598488509722	1598488510093	OK	 
USER	fluxo principal	7	END	1598488508721	1598488510094
REQUEST	8		Buscar produto!	1598488510094	1598488510502	OK	 
USER	fluxo principal	9	START	1598488510719	1598488510719
REQUEST	8		Finalizar Compra!	1598488510503	1598488510822	OK	 
USER	fluxo principal	8	END	1598488509721	1598488510822
REQUEST	9		Login!	1598488510720	1598488511117	OK	 
REQUEST	9		Buscar produto!	1598488511118	1598488511526	OK	 
USER	fluxo principal	10	START	1598488511721	1598488511721
REQUEST	9		Finalizar Compra!	1598488511527	1598488511850	OK	 
USER	fluxo principal	9	END	1598488510719	1598488511851
REQUEST	10		Login!	1598488511721	1598488512063	OK	 
REQUEST	10		Buscar produto!	1598488512064	1598488512405	OK	 
USER	fluxo principal	11	START	1598488512721	1598488512721
REQUEST	10		Finalizar Compra!	1598488512406	1598488512751	OK	 
USER	fluxo principal	10	END	1598488511721	1598488512751
REQUEST	11		Login!	1598488512722	1598488513158	OK	 
REQUEST	11		Buscar produto!	1598488513159	1598488513488	OK	 
USER	fluxo principal	12	START	1598488513720	1598488513720
REQUEST	11		Finalizar Compra!	1598488513488	1598488513828	OK	 
USER	fluxo principal	11	END	1598488512721	1598488513828
REQUEST	12		Login!	1598488513720	1598488514061	OK	 
REQUEST	12		Buscar produto!	1598488514062	1598488514379	OK	 
USER	fluxo principal	13	START	1598488514720	1598488514720
REQUEST	12		Finalizar Compra!	1598488514379	1598488514729	OK	 
USER	fluxo principal	12	END	1598488513720	1598488514730
REQUEST	13		Login!	1598488514720	1598488515058	OK	 
REQUEST	13		Buscar produto!	1598488515059	1598488515520	OK	 
USER	fluxo principal	14	START	1598488515721	1598488515721
REQUEST	13		Finalizar Compra!	1598488515521	1598488515831	OK	 
USER	fluxo principal	13	END	1598488514720	1598488515832
REQUEST	14		Login!	1598488515721	1598488516134	OK	 
REQUEST	14		Buscar produto!	1598488516135	1598488516544	OK	 
USER	fluxo principal	15	START	1598488516721	1598488516721
REQUEST	14		Finalizar Compra!	1598488516545	1598488516861	OK	 
USER	fluxo principal	14	END	1598488515721	1598488516862
REQUEST	15		Login!	1598488516721	1598488517056	OK	 
REQUEST	15		Buscar produto!	1598488517057	1598488517385	OK	 
USER	fluxo principal	16	START	1598488517720	1598488517720
REQUEST	15		Finalizar Compra!	1598488517386	1598488517729	OK	 
USER	fluxo principal	15	END	1598488516721	1598488517730
REQUEST	16		Login!	1598488517721	1598488517929	OK	 
REQUEST	16		Buscar produto!	1598488517930	1598488518387	OK	 
USER	fluxo principal	17	START	1598488518720	1598488518720
REQUEST	16		Finalizar Compra!	1598488518388	1598488518744	OK	 
USER	fluxo principal	16	END	1598488517720	1598488518744
REQUEST	17		Login!	1598488518721	1598488519206	OK	 
REQUEST	17		Buscar produto!	1598488519207	1598488519616	OK	 
USER	fluxo principal	18	START	1598488519721	1598488519721
REQUEST	17		Finalizar Compra!	1598488519617	1598488520026	OK	 
USER	fluxo principal	17	END	1598488518720	1598488520027
REQUEST	18		Login!	1598488519722	1598488520073	OK	 
REQUEST	18		Buscar produto!	1598488520074	1598488520538	OK	 
REQUEST	18		Finalizar Compra!	1598488520539	1598488520719	OK	 
USER	fluxo principal	18	END	1598488519721	1598488520720
USER	fluxo principal	19	START	1598488520720	1598488520720
REQUEST	19		Login!	1598488520720	1598488521152	OK	 
