RUN	computerdatabase.PerformanceTest	performancetest	1598496217286	 	3.3.1
REQUEST	22		Login!	1598496242797	1598496243218	OK	 
REQUEST	25		Login!	1598496242797	1598496243218	OK	 
REQUEST	23		Login!	1598496242797	1598496243218	OK	 
REQUEST	21		Login!	1598496242797	1598496243218	OK	 
REQUEST	22		Buscar produto!	1598496243219	1598496243629	OK	 
REQUEST	23		Buscar produto!	1598496243219	1598496243629	OK	 
REQUEST	21		Buscar produto!	1598496243219	1598496243629	OK	 
REQUEST	24		Buscar produto!	1598496243219	1598496243629	OK	 
REQUEST	25		Buscar produto!	1598496243219	1598496243629	OK	 
REQUEST	23		Finalizar Compra!	1598496243630	1598496244037	OK	 
REQUEST	24		Finalizar Compra!	1598496243630	1598496244037	OK	 
REQUEST	21		Finalizar Compra!	1598496243631	1598496244037	OK	 
REQUEST	25		Finalizar Compra!	1598496243630	1598496244037	OK	 
REQUEST	22		Finalizar Compra!	1598496243630	1598496244037	OK	 
USER	fluxo principal	24	END	1598496242796	1598496244037
USER	fluxo principal	22	END	1598496242796	1598496244037
USER	fluxo principal	21	END	1598496242796	1598496244038
USER	fluxo principal	25	END	1598496242796	1598496244038
USER	fluxo principal	23	END	1598496242797	1598496244038
