RUN	computerdatabase.PerformanceTest	performancetest	1598488972877	 	3.3.1
USER	fluxo principal	1	START	1598488974308	1598488974308
REQUEST	1		Login!	1598488974337	1598488974797	OK	 
REQUEST	1		Buscar produto!	1598488974819	1598488975204	OK	 
USER	fluxo principal	2	START	1598488975323	1598488975323
REQUEST	1		Finalizar Compra!	1598488975205	1598488975526	OK	 
USER	fluxo principal	1	END	1598488974308	1598488975536
REQUEST	2		Login!	1598488975324	1598488975541	OK	 
REQUEST	2		Buscar produto!	1598488975542	1598488975865	OK	 
REQUEST	2		Finalizar Compra!	1598488975866	1598488976227	OK	 
USER	fluxo principal	2	END	1598488975323	1598488976228
USER	fluxo principal	3	START	1598488976322	1598488976322
REQUEST	3		Login!	1598488976323	1598488976740	OK	 
REQUEST	3		Buscar produto!	1598488976741	1598488977149	OK	 
USER	fluxo principal	4	START	1598488977323	1598488977323
REQUEST	3		Finalizar Compra!	1598488977150	1598488977520	OK	 
USER	fluxo principal	3	END	1598488976322	1598488977521
REQUEST	4		Login!	1598488977324	1598488977657	OK	 
REQUEST	4		Buscar produto!	1598488977658	1598488978071	OK	 
USER	fluxo principal	5	START	1598488978323	1598488978323
REQUEST	4		Finalizar Compra!	1598488978071	1598488978408	OK	 
USER	fluxo principal	4	END	1598488977323	1598488978408
REQUEST	5		Login!	1598488978323	1598488978788	OK	 
REQUEST	5		Buscar produto!	1598488978789	1598488979197	OK	 
USER	fluxo principal	6	START	1598488979322	1598488979322
REQUEST	5		Finalizar Compra!	1598488979198	1598488979525	OK	 
USER	fluxo principal	5	END	1598488978323	1598488979525
REQUEST	6		Login!	1598488979322	1598488979705	OK	 
REQUEST	6		Buscar produto!	1598488979706	1598488980051	OK	 
USER	fluxo principal	7	START	1598488980321	1598488980321
REQUEST	6		Finalizar Compra!	1598488980052	1598488980407	OK	 
USER	fluxo principal	6	END	1598488979322	1598488980408
REQUEST	7		Login!	1598488980322	1598488980664	OK	 
REQUEST	7		Buscar produto!	1598488980665	1598488981040	OK	 
REQUEST	7		Finalizar Compra!	1598488981041	1598488981219	OK	 
USER	fluxo principal	7	END	1598488980321	1598488981219
USER	fluxo principal	8	START	1598488981322	1598488981322
REQUEST	8		Login!	1598488981323	1598488981757	OK	 
REQUEST	8		Buscar produto!	1598488981758	1598488982167	OK	 
USER	fluxo principal	9	START	1598488982323	1598488982323
REQUEST	8		Finalizar Compra!	1598488982167	1598488982497	OK	 
USER	fluxo principal	8	END	1598488981322	1598488982497
REQUEST	9		Login!	1598488982324	1598488982514	OK	 
REQUEST	9		Buscar produto!	1598488982515	1598488982884	OK	 
REQUEST	9		Finalizar Compra!	1598488982885	1598488983293	OK	 
USER	fluxo principal	9	END	1598488982323	1598488983293
USER	fluxo principal	10	START	1598488983323	1598488983323
REQUEST	10		Login!	1598488983323	1598488983703	OK	 
REQUEST	10		Buscar produto!	1598488983704	1598488984112	OK	 
USER	fluxo principal	11	START	1598488984323	1598488984323
REQUEST	10		Finalizar Compra!	1598488984113	1598488984427	OK	 
USER	fluxo principal	10	END	1598488983323	1598488984427
REQUEST	11		Login!	1598488984323	1598488984648	OK	 
REQUEST	11		Buscar produto!	1598488984649	1598488985034	OK	 
USER	fluxo principal	12	START	1598488985311	1598488985311
REQUEST	11		Finalizar Compra!	1598488985035	1598488985366	OK	 
USER	fluxo principal	11	END	1598488984323	1598488985366
REQUEST	12		Login!	1598488985312	1598488985853	OK	 
REQUEST	12		Buscar produto!	1598488985855	1598488986263	OK	 
USER	fluxo principal	13	START	1598488986322	1598488986322
REQUEST	12		Finalizar Compra!	1598488986264	1598488986458	OK	 
USER	fluxo principal	12	END	1598488985311	1598488986459
REQUEST	13		Login!	1598488986322	1598488986982	OK	 
USER	fluxo principal	14	START	1598488987322	1598488987322
REQUEST	13		Buscar produto!	1598488986983	1598488987332	OK	 
REQUEST	13		Finalizar Compra!	1598488987333	1598488987679	OK	 
USER	fluxo principal	13	END	1598488986322	1598488987679
REQUEST	14		Login!	1598488987322	1598488988106	OK	 
USER	fluxo principal	15	START	1598488988322	1598488988322
REQUEST	14		Buscar produto!	1598488988107	1598488988437	OK	 
REQUEST	15		Login!	1598488988323	1598488988676	OK	 
REQUEST	15		Buscar produto!	1598488988677	1598488988996	OK	 
REQUEST	15		Finalizar Compra!	1598488988997	1598488989306	OK	 
USER	fluxo principal	15	END	1598488988322	1598488989306
USER	fluxo principal	16	START	1598488989324	1598488989324
REQUEST	14		Finalizar Compra!	1598488988438	1598488989516	OK	 
REQUEST	16		Login!	1598488989324	1598488989516	OK	 
USER	fluxo principal	14	END	1598488987322	1598488989517
REQUEST	16		Buscar produto!	1598488989517	1598488989949	OK	 
USER	fluxo principal	17	START	1598488990312	1598488990312
REQUEST	16		Finalizar Compra!	1598488989950	1598488990333	OK	 
USER	fluxo principal	16	END	1598488989324	1598488990333
REQUEST	17		Login!	1598488990312	1598488990768	OK	 
REQUEST	17		Buscar produto!	1598488990769	1598488991178	OK	 
USER	fluxo principal	18	START	1598488991324	1598488991324
REQUEST	17		Finalizar Compra!	1598488991179	1598488991371	OK	 
USER	fluxo principal	17	END	1598488990312	1598488991371
REQUEST	18		Login!	1598488991324	1598488991793	OK	 
REQUEST	18		Buscar produto!	1598488991794	1598488992201	OK	 
USER	fluxo principal	19	START	1598488992313	1598488992313
REQUEST	18		Finalizar Compra!	1598488992202	1598488992528	OK	 
USER	fluxo principal	18	END	1598488991324	1598488992528
REQUEST	19		Login!	1598488992314	1598488992816	OK	 
USER	fluxo principal	20	START	1598488993314	1598488993314
REQUEST	19		Buscar produto!	1598488992817	1598488993321	OK	 
REQUEST	19		Finalizar Compra!	1598488993321	1598488993738	OK	 
REQUEST	20		Login!	1598488993314	1598488993738	OK	 
USER	fluxo principal	19	END	1598488992313	1598488993739
REQUEST	20		Buscar produto!	1598488993739	1598488994148	OK	 
REQUEST	20		Finalizar Compra!	1598488994149	1598488994557	OK	 
USER	fluxo principal	20	END	1598488993314	1598488994558
USER	fluxo principal	21	START	1598488998322	1598488998322
USER	fluxo principal	25	START	1598488998322	1598488998322
USER	fluxo principal	22	START	1598488998322	1598488998322
USER	fluxo principal	23	START	1598488998322	1598488998322
USER	fluxo principal	24	START	1598488998322	1598488998322
REQUEST	23		Login!	1598488998323	1598488998757	OK	 
REQUEST	24		Login!	1598488998323	1598488998757	OK	 
REQUEST	25		Login!	1598488998323	1598488998757	OK	 
REQUEST	21		Login!	1598488998323	1598488998757	OK	 
REQUEST	22		Login!	1598488998323	1598488998757	OK	 
REQUEST	23		Buscar produto!	1598488998759	1598488999166	OK	 
REQUEST	22		Buscar produto!	1598488998758	1598488999166	OK	 
REQUEST	25		Buscar produto!	1598488998758	1598488999167	OK	 
REQUEST	24		Buscar produto!	1598488998758	1598488999166	OK	 
REQUEST	21		Buscar produto!	1598488998758	1598488999166	OK	 
REQUEST	25		Finalizar Compra!	1598488999167	1598488999342	OK	 
USER	fluxo principal	25	END	1598488998322	1598488999342
REQUEST	24		Finalizar Compra!	1598488999167	1598488999476	OK	 
REQUEST	21		Finalizar Compra!	1598488999168	1598488999476	OK	 
USER	fluxo principal	21	END	1598488998322	1598488999477
USER	fluxo principal	24	END	1598488998322	1598488999477
REQUEST	23		Finalizar Compra!	1598488999167	1598488999484	OK	 
USER	fluxo principal	23	END	1598488998322	1598488999484
REQUEST	22		Finalizar Compra!	1598488999167	1598488999504	OK	 
USER	fluxo principal	22	END	1598488998322	1598488999504
