RUN	computerdatabase.PerformanceTest	performancetest	1598552539914	 	3.3.1
USER	fluxo principal	1	START	1598552542375	1598552542375
USER	fluxo principal	2	START	1598552543397	1598552543397
USER	fluxo principal	3	START	1598552544396	1598552544396
USER	fluxo principal	4	START	1598552545387	1598552545387
USER	fluxo principal	5	START	1598552546387	1598552546387
REQUEST	3		Login!	1598552544396	1598552546540	OK	 
REQUEST	4		Login!	1598552545388	1598552546544	OK	 
REQUEST	1		Login!	1598552542401	1598552546577	OK	 
REQUEST	2		Login!	1598552543398	1598552546595	OK	 
REQUEST	5		Login!	1598552546388	1598552546767	OK	 
REQUEST	3		Buscar produto!	1598552546573	1598552546928	OK	 
REQUEST	1		Buscar produto!	1598552546579	1598552546933	OK	 
REQUEST	2		Buscar produto!	1598552546596	1598552546936	OK	 
REQUEST	4		Buscar produto!	1598552546573	1598552546942	OK	 
REQUEST	3		Finalizar Compra!	1598552546929	1598552547106	OK	 
USER	fluxo principal	3	END	1598552544396	1598552547110
REQUEST	5		Buscar produto!	1598552546768	1598552547157	OK	 
REQUEST	1		Finalizar Compra!	1598552546934	1598552547298	OK	 
USER	fluxo principal	1	END	1598552542375	1598552547299
REQUEST	2		Finalizar Compra!	1598552546937	1598552547301	OK	 
USER	fluxo principal	2	END	1598552543397	1598552547302
REQUEST	4		Finalizar Compra!	1598552546943	1598552547302	OK	 
USER	fluxo principal	4	END	1598552545387	1598552547302
USER	fluxo principal	6	START	1598552547387	1598552547387
REQUEST	5		Finalizar Compra!	1598552547158	1598552547498	OK	 
USER	fluxo principal	5	END	1598552546387	1598552547499
REQUEST	6		Login!	1598552547387	1598552547779	OK	 
REQUEST	6		Buscar produto!	1598552547780	1598552548128	OK	 
USER	fluxo principal	7	START	1598552548387	1598552548387
REQUEST	6		Finalizar Compra!	1598552548129	1598552548466	OK	 
USER	fluxo principal	6	END	1598552547387	1598552548466
REQUEST	7		Login!	1598552548387	1598552548770	OK	 
REQUEST	7		Buscar produto!	1598552548771	1598552549146	OK	 
REQUEST	7		Finalizar Compra!	1598552549147	1598552549342	OK	 
USER	fluxo principal	7	END	1598552548387	1598552549342
USER	fluxo principal	8	START	1598552549387	1598552549387
REQUEST	8		Login!	1598552549387	1598552549738	OK	 
REQUEST	8		Buscar produto!	1598552549739	1598552550078	OK	 
USER	fluxo principal	9	START	1598552550387	1598552550387
REQUEST	8		Finalizar Compra!	1598552550079	1598552550413	OK	 
USER	fluxo principal	8	END	1598552549387	1598552550414
REQUEST	9		Login!	1598552550387	1598552550763	OK	 
REQUEST	9		Buscar produto!	1598552550764	1598552551082	OK	 
USER	fluxo principal	10	START	1598552551387	1598552551387
REQUEST	9		Finalizar Compra!	1598552551083	1598552551418	OK	 
USER	fluxo principal	9	END	1598552550387	1598552551419
REQUEST	10		Login!	1598552551387	1598552551745	OK	 
REQUEST	10		Buscar produto!	1598552551746	1598552552248	OK	 
USER	fluxo principal	11	START	1598552552385	1598552552385
REQUEST	10		Finalizar Compra!	1598552552249	1598552552441	OK	 
USER	fluxo principal	10	END	1598552551387	1598552552441
REQUEST	11		Login!	1598552552386	1598552552761	OK	 
REQUEST	11		Buscar produto!	1598552552763	1598552553130	OK	 
USER	fluxo principal	12	START	1598552553387	1598552553387
REQUEST	11		Finalizar Compra!	1598552553131	1598552553466	OK	 
USER	fluxo principal	11	END	1598552552385	1598552553467
REQUEST	12		Login!	1598552553387	1598552553778	OK	 
REQUEST	12		Buscar produto!	1598552553779	1598552554138	OK	 
USER	fluxo principal	13	START	1598552554387	1598552554387
REQUEST	12		Finalizar Compra!	1598552554138	1598552554503	OK	 
USER	fluxo principal	12	END	1598552553387	1598552554504
REQUEST	13		Login!	1598552554387	1598552554764	OK	 
REQUEST	13		Buscar produto!	1598552554766	1598552555159	OK	 
USER	fluxo principal	14	START	1598552555385	1598552555385
REQUEST	13		Finalizar Compra!	1598552555160	1598552555519	OK	 
USER	fluxo principal	13	END	1598552554387	1598552555520
REQUEST	14		Login!	1598552555385	1598552555812	OK	 
REQUEST	14		Buscar produto!	1598552555814	1598552556164	OK	 
USER	fluxo principal	15	START	1598552556385	1598552556385
REQUEST	14		Finalizar Compra!	1598552556165	1598552556495	OK	 
USER	fluxo principal	14	END	1598552555385	1598552556496
REQUEST	15		Login!	1598552556386	1598552556753	OK	 
REQUEST	15		Buscar produto!	1598552556754	1598552557117	OK	 
USER	fluxo principal	16	START	1598552557385	1598552557385
REQUEST	15		Finalizar Compra!	1598552557117	1598552557460	OK	 
USER	fluxo principal	15	END	1598552556385	1598552557462
REQUEST	16		Login!	1598552557385	1598552557787	OK	 
REQUEST	16		Buscar produto!	1598552557788	1598552558132	OK	 
REQUEST	16		Finalizar Compra!	1598552558133	1598552558302	OK	 
USER	fluxo principal	16	END	1598552557385	1598552558302
USER	fluxo principal	17	START	1598552558386	1598552558386
REQUEST	17		Login!	1598552558386	1598552558765	OK	 
REQUEST	17		Buscar produto!	1598552558766	1598552559124	OK	 
USER	fluxo principal	18	START	1598552559387	1598552559387
REQUEST	17		Finalizar Compra!	1598552559125	1598552559518	OK	 
USER	fluxo principal	17	END	1598552558386	1598552559519
REQUEST	18		Login!	1598552559388	1598552559788	OK	 
REQUEST	18		Buscar produto!	1598552559789	1598552560184	OK	 
USER	fluxo principal	19	START	1598552560387	1598552560387
REQUEST	18		Finalizar Compra!	1598552560185	1598552560567	OK	 
USER	fluxo principal	18	END	1598552559387	1598552560568
REQUEST	19		Login!	1598552560387	1598552560755	OK	 
REQUEST	19		Buscar produto!	1598552560756	1598552560919	OK	 
REQUEST	19		Finalizar Compra!	1598552560920	1598552561083	OK	 
USER	fluxo principal	19	END	1598552560387	1598552561084
USER	fluxo principal	20	START	1598552561387	1598552561387
