RUN	computerdatabase.PerformanceTest	performancetest	1598488436348	 	3.3.1
USER	fluxo principal	1	START	1598488437817	1598488437817
REQUEST	1		Login!	1598488437842	1598488438202	OK	 
REQUEST	1		Buscar produto!	1598488438223	1598488438718	OK	 
USER	fluxo principal	2	START	1598488438829	1598488438829
REQUEST	1		Finalizar Compra!	1598488438719	1598488438887	OK	 
USER	fluxo principal	1	END	1598488437817	1598488438890
REQUEST	2		Login!	1598488438830	1598488439172	OK	 
REQUEST	2		Buscar produto!	1598488439173	1598488439487	OK	 
USER	fluxo principal	3	START	1598488439839	1598488439839
REQUEST	2		Finalizar Compra!	1598488439488	1598488439844	OK	 
USER	fluxo principal	2	END	1598488438829	1598488439845
REQUEST	3		Login!	1598488439840	1598488440254	OK	 
REQUEST	3		Buscar produto!	1598488440256	1598488440571	OK	 
USER	fluxo principal	4	START	1598488440829	1598488440829
REQUEST	3		Finalizar Compra!	1598488440572	1598488440892	OK	 
USER	fluxo principal	3	END	1598488439839	1598488440893
REQUEST	4		Login!	1598488440830	1598488441278	OK	 
REQUEST	4		Buscar produto!	1598488441279	1598488441688	OK	 
USER	fluxo principal	5	START	1598488441829	1598488441829
REQUEST	4		Finalizar Compra!	1598488441689	1598488442061	OK	 
USER	fluxo principal	4	END	1598488440829	1598488442062
REQUEST	5		Login!	1598488441829	1598488442172	OK	 
REQUEST	5		Buscar produto!	1598488442173	1598488442483	OK	 
USER	fluxo principal	6	START	1598488442830	1598488442830
REQUEST	5		Finalizar Compra!	1598488442484	1598488442840	OK	 
USER	fluxo principal	5	END	1598488441829	1598488442840
REQUEST	6		Login!	1598488442830	1598488443254	OK	 
REQUEST	6		Buscar produto!	1598488443255	1598488443633	OK	 
USER	fluxo principal	7	START	1598488443830	1598488443830
REQUEST	6		Finalizar Compra!	1598488443634	1598488443946	OK	 
USER	fluxo principal	6	END	1598488442830	1598488443946
REQUEST	7		Login!	1598488443831	1598488444350	OK	 
USER	fluxo principal	8	START	1598488444830	1598488444830
REQUEST	7		Buscar produto!	1598488444351	1598488444839	OK	 
REQUEST	7		Finalizar Compra!	1598488444840	1598488445023	OK	 
USER	fluxo principal	7	END	1598488443830	1598488445023
REQUEST	8		Login!	1598488444830	1598488445194	OK	 
REQUEST	8		Buscar produto!	1598488445195	1598488445579	OK	 
USER	fluxo principal	9	START	1598488445830	1598488445830
REQUEST	8		Finalizar Compra!	1598488445580	1598488445898	OK	 
USER	fluxo principal	8	END	1598488444830	1598488445899
REQUEST	9		Login!	1598488445830	1598488446297	OK	 
REQUEST	9		Buscar produto!	1598488446298	1598488446705	OK	 
USER	fluxo principal	10	START	1598488446829	1598488446829
REQUEST	9		Finalizar Compra!	1598488446706	1598488447055	OK	 
USER	fluxo principal	9	END	1598488445830	1598488447055
REQUEST	10		Login!	1598488446829	1598488447161	OK	 
REQUEST	10		Buscar produto!	1598488447162	1598488447627	OK	 
REQUEST	10		Finalizar Compra!	1598488447628	1598488448037	OK	 
USER	fluxo principal	10	END	1598488446829	1598488448037
