RUN	computerdatabase.PerformanceTest	performancetest	1598488121341	 	3.3.1
USER	fluxo principal	1	START	1598488122816	1598488122816
REQUEST	1		Login!	1598488122840	1598488123323	OK	 
REQUEST	1		Buscar produto!	1598488123346	1598488123730	OK	 
USER	fluxo principal	2	START	1598488123839	1598488123839
REQUEST	1		Finalizar Compra!	1598488123731	1598488124072	OK	 
USER	fluxo principal	1	END	1598488122816	1598488124075
REQUEST	2		Login!	1598488123840	1598488124207	OK	 
REQUEST	2		Buscar produto!	1598488124208	1598488124651	OK	 
USER	fluxo principal	3	START	1598488124839	1598488124839
REQUEST	2		Finalizar Compra!	1598488124652	1598488124990	OK	 
USER	fluxo principal	2	END	1598488123839	1598488124990
REQUEST	3		Login!	1598488124840	1598488125277	OK	 
REQUEST	3		Buscar produto!	1598488125278	1598488125778	OK	 
USER	fluxo principal	4	START	1598488125829	1598488125829
REQUEST	3		Finalizar Compra!	1598488125779	1598488126187	OK	 
USER	fluxo principal	3	END	1598488124839	1598488126187
REQUEST	4		Login!	1598488125830	1598488126241	OK	 
REQUEST	4		Buscar produto!	1598488126242	1598488126699	OK	 
USER	fluxo principal	5	START	1598488126829	1598488126829
REQUEST	4		Finalizar Compra!	1598488126700	1598488127042	OK	 
USER	fluxo principal	4	END	1598488125829	1598488127043
REQUEST	5		Login!	1598488126830	1598488127246	OK	 
REQUEST	5		Buscar produto!	1598488127247	1598488127633	OK	 
REQUEST	5		Finalizar Compra!	1598488127634	1598488127800	OK	 
USER	fluxo principal	5	END	1598488126829	1598488127801
USER	fluxo principal	6	START	1598488127828	1598488127828
REQUEST	6		Login!	1598488127828	1598488128337	OK	 
REQUEST	6		Buscar produto!	1598488128338	1598488128741	OK	 
USER	fluxo principal	7	START	1598488128829	1598488128829
REQUEST	6		Finalizar Compra!	1598488128742	1598488129092	OK	 
USER	fluxo principal	6	END	1598488127828	1598488129092
REQUEST	7		Login!	1598488128829	1598488129241	OK	 
USER	fluxo principal	8	START	1598488129830	1598488129830
REQUEST	7		Buscar produto!	1598488129242	1598488129889	OK	 
REQUEST	7		Finalizar Compra!	1598488129890	1598488130502	OK	 
USER	fluxo principal	7	END	1598488128829	1598488130503
REQUEST	8		Login!	1598488129830	1598488130795	OK	 
USER	fluxo principal	9	START	1598488130828	1598488130828
REQUEST	8		Buscar produto!	1598488130796	1598488131178	OK	 
REQUEST	9		Login!	1598488130829	1598488131194	OK	 
REQUEST	8		Finalizar Compra!	1598488131179	1598488131614	OK	 
REQUEST	9		Buscar produto!	1598488131195	1598488131614	OK	 
USER	fluxo principal	8	END	1598488129830	1598488131614
USER	fluxo principal	10	START	1598488131828	1598488131828
REQUEST	9		Finalizar Compra!	1598488131615	1598488132020	OK	 
USER	fluxo principal	9	END	1598488130828	1598488132020
REQUEST	10		Login!	1598488131829	1598488132331	OK	 
REQUEST	10		Buscar produto!	1598488132332	1598488132843	OK	 
REQUEST	10		Finalizar Compra!	1598488132843	1598488133041	OK	 
USER	fluxo principal	10	END	1598488131828	1598488133042
